username,repo_name,stars,repo_link
amphp,amp,3400,https://github.com/amphp/amp
danog,MadelineProto,1800,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,683,https://github.com/unreal4u/telegram-api
amphp,http-client,589,https://github.com/amphp/http-client
amphp,parallel,526,https://github.com/amphp/parallel
php-service-bus,service-bus,308,https://github.com/php-service-bus/service-bus
amphp,byte-stream,257,https://github.com/amphp/byte-stream
amphp,mysql,256,https://github.com/amphp/mysql
amphp,parallel-functions,201,https://github.com/amphp/parallel-functions
amphp,process,148,https://github.com/amphp/process
amphp,socket,141,https://github.com/amphp/socket
amphp,redis,118,https://github.com/amphp/redis
kelunik,acme,106,https://github.com/kelunik/acme
amphp,dns,101,https://github.com/amphp/dns
amphp,websocket-client,93,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,91,https://github.com/PeeHaa/mailgrab
amphp,sync,89,https://github.com/amphp/sync
jolicode,asynit,68,https://github.com/jolicode/asynit
amphp,websocket-server,66,https://github.com/amphp/websocket-server
amphp,file,59,https://github.com/amphp/file
amphp,cache,60,https://github.com/amphp/cache
amphp,postgres,58,https://github.com/amphp/postgres
amphp,serialization,57,https://github.com/amphp/serialization
amphp,beanstalk,55,https://github.com/amphp/beanstalk
amphp,windows-registry,56,https://github.com/amphp/windows-registry
amphp,hpack,54,https://github.com/amphp/hpack
phpinnacle,ridge,44,https://github.com/phpinnacle/ridge
amphp,aerys,42,https://github.com/amphp/aerys
Room-11,Jeeves,40,https://github.com/Room-11/Jeeves
